n,m_label,m_actual,avg_messages,min_messages,max_messages,std_dev
20,n,20,88.40,80,116,9.85
20,n*log(n),86,307.19,172,344,70.54
20,n*sqrt(n),89,315.06,178,356,74.91
20,n^2,190,380.00,380,380,0.00
30,n,30,136.66,120,184,12.54
30,n*log(n),147,568.60,294,588,72.99
30,n*sqrt(n),164,616.31,328,656,106.97
30,n^2,435,870.00,870,870,0.00
40,n,40,184.95,160,244,14.84
40,n*log(n),212,831.89,424,848,81.07
40,n*sqrt(n),252,982.30,504,1008,110.88
40,n^2,780,1560.00,1560,1560,0.00
60,n,60,277.11,240,338,17.13
60,n*log(n),354,1414.58,708,1416,31.63
60,n*sqrt(n),464,1833.73,928,1856,142.03
60,n^2,1770,3540.00,3540,3540,0.00
80,n,80,368.35,320,456,19.69
80,n*log(n),505,2020.00,2020,2020,0.00
80,n*sqrt(n),715,2847.13,1430,2860,135.05
80,n^2,3160,6320.00,6320,6320,0.00
100,n,100,462.45,400,568,24.00
100,n*log(n),664,2656.00,2656,2656,0.00
100,n*sqrt(n),1000,3990.00,2000,4000,141.07
100,n^2,4950,9900.00,9900,9900,0.00
