density_k,n,m_actual,avg_messages,min_messages,max_messages,std_dev
2,20,40,159.95,80,232,5.61
2,30,60,240.97,240,356,10.23
2,40,80,322.73,320,476,19.67
2,60,120,489.77,480,718,45.13
2,80,160,656.18,640,960,67.16
2,100,200,831.18,800,1466,103.46
3,20,60,234.00,120,240,26.15
3,30,90,359.64,180,360,8.04
3,40,120,479.76,240,480,7.59
3,60,180,720.31,720,1026,9.67
3,80,240,960.00,960,960,0.00
3,100,300,1200.98,1200,1744,21.95
10,20,190,380.00,380,380,0.00
10,30,300,832.20,600,1200,292.24
10,40,400,1354.40,800,1600,369.00
10,60,600,2308.80,1200,2400,318.00
10,80,800,3177.60,1600,3200,187.98
10,100,1000,3996.00,2000,4000,89.35
